created_at,name
2019-01-14 01:00:00,Workbench Designs
2019-01-14 01:00:00,Workbench Oper. Improv.
2019-01-14 01:00:00,OmniGen 3.x server
2019-01-14 01:00:00,OmniHealth
2019-01-14 01:00:00,Project Management DA
2019-01-14 01:00:00,Ad hoc field support
2019-01-14 01:00:00,Bank United
2019-01-14 01:00:00,St Lukes
2019-01-14 01:00:00,Michigan State Police
2019-01-14 01:00:00,Floyd
2019-01-14 01:00:00,TrialCard
2019-01-14 01:00:00,BCBS
2019-01-14 01:00:00,CCNC
2019-01-14 01:00:00,Voya
2019-01-14 01:00:00,Clicks
2019-01-14 01:00:00,Generali
2019-01-14 01:00:00,Target
2019-01-14 01:00:00,Servus
2019-01-14 01:00:00,_Research & Development
2019-01-14 01:00:00,_Training
2019-01-14 01:00:00,_Marketing and Selling
2019-01-14 01:00:00,_People mgmt & hiring
2019-01-14 01:00:00,_Travel Time
2019-01-14 01:00:00,_Vacation
2019-01-14 01:00:00,_Sick
2019-01-14 01:00:00,_Unpaid Leave
2019-01-14 01:00:00,_Public Holiday
2019-01-14 01:00:00,_Accounting and Finance
2019-01-14 01:00:00,_Product
2019-01-14 01:00:00,_Sick Day
2019-01-14 01:00:00,_Personal Day
2019-01-14 01:00:00,_Internal Activities
