created_at,date,description
2019-01-01 01:00:00,0001-01-01,New Year's Day
2019-01-01 01:00:00,0001-01-01,Good Friday
2019-01-01 01:00:00,0001-01-01,Easter Monday
2019-01-01 01:00:00,0001-01-01,May Day
2019-01-01 01:00:00,0001-01-01,Liberation Day
2019-01-01 01:00:00,0001-01-01,St Cyril and St Methodius Day
2019-01-01 01:00:00,0001-01-01,Jan Hus Day
2019-01-01 01:00:00,0001-01-01,Statehood Day
2019-01-01 01:00:00,0001-01-01,Independence Day
2019-01-01 01:00:00,0001-01-01,Freedom and Democracy Day
2019-01-01 01:00:00,0001-01-01,Christmas Eve
2019-01-01 01:00:00,0001-01-01,Christmas Day
2019-01-01 01:00:00,0001-01-01,2nd Day of Christmas
